#counts  zeit/s  Winkel/grad
1214    150     0
1271    170     -0.5
1185    180     -1
1072    180     -1.5
1109    200     -2
1103    200     -2.5
930   210     -3
783   210     -3.5
881   210     -4
854   210     -4.5
522     210     -5
540   270     -5.5
533   270     -6
1156    150     0.5
1461    170     1
1269    150     1.5
1248    150     2
1229    150     2.5
1328    150     3
1258    150     3.5
1428    150     4
1251    150     4.5
1160    150     5
1165    150     5.5
933   150     6
811   150     6.5
941   180     7
756   180     7.5
762   210     8
622   210     8.5
511   210     9
502   240     9.5
409   240     10
