#x1   y1    x2    y2
22.5  1.5   15        0
25    4     20        4
30    6     25      6.5
35    9     30      9
40    10      35      11
45    11.5      40      12.5
50    12      45      14
55    13      50      15
60    13.5      55      16
65    14      60      16.5
70    15      65      17
75    16      70      17.5
80    16      75      18
85    16.5      80      18.5
90    16.5      85      19
95    17      90      19.5
100   17      95      20
105   17      100     20.5
110   17      105     20.5
115    17     110     21
120    17     115     21
125   17      120     21.5
130   17      125     21.5
135    17.5    130      21.5
140   17.5      135     21.5
145    17.5    140      22
150    17.5   145         22
0       0       150      22
0       0     155     22.5
0       0     160     22.5
0       0     165     22.5
0       0     170     22.5
0       0     175     22.5
0       0     180     22.5
0       0     185     22.5
0       0     190     22.5
