#I/A  B/mT
0       5
0.5      48
1       72
1.5       104
2       134
2.5       175
3       196
3.5       236
4       228
4.5       295
5       308
5.5       360
6       393
6.5       410
7       460
7.5       474
8       499
8.5       514
9       568
9.5       572
10        620
10.5        637
11        659
11.5        692
12        722
12.5        776
13        824
13.5        909
14        940
14.5        920
15        968
15.5        1040
16        1073
16.5        1088
17        1099
17.5        1127
18      1126



#2966:0, 0A
#2967:0, 9A
#2968:90, 9A
#2969:90, 0A

#2971:0, 0A
#2973:90, 0A
#2974:90, 16A
#2975:0, 5,5A
