#T/°C     I/pA
-63       0.8
-61.8     0.8
-60.0     0.8
-58.2     0.8
-56.9     0.75
-55.6     0.7
-54.4     0.65
-53.2     0.65
-52.1     0.6
-51       0.6
-49.9     0.6
-48.7     0.6
-47.6     0.6
-46.5     0.65
-45.5     0.65
-44.4     0.7
-43.4     0.8
-42.2     0.85
-41.2     0.9
-40.1     1.05
-39       1.15
-37.8     1.35
-36.6     1.5
-35.3     1.8
-34.0     2.2
-32.9     2.4
-32.0     2.8
-31.0     3.1
-30.0     3.5
-29.2     3.8
-28.0     4.3
-26.4     5.1
-25       6
-23.8     6.8
-22.9     7.3
-22.3     7.7
-21.1     8.2
-19.8     8.9
-18.4     9.6
-17.2     10
-16.0     10
-14.8     10
-13.5     9.3
-12.5     8.6
-11.4     7.7
-10.1     7.1
-8.3      6.5
-6.8      5.7
-5.6      5
-5.0      4.3
-4.2      3.8
-2.9      3.7
-1.8      3.6
-0.8      3.6
0.1       3.4
0.7       3.3
1.8       3.4
3.8       3.7
5.0       4.1
5.8       4.2
6.4       4.2
7.1       4.2
8.4       4.5
9.7       4.8
10.6      5.0
11.4      5
12.5      5.2
13.8      5.5
15.2      5.9
16.2      6.1
17        6.2
17.9      6.2
19.1      6.5
20.3      6.7
21.2      6.9
21.9      6.9
22.7      6.8
23.7      6.9
25        7.1
26.3      7.5
27.3      7.6
28.3      7.6
29.3      7.6
30.2      7.6
31.3      7.6
32.3      7.7
33.4      7.9
34.6      8.1
35.7      8.2
36.7      8.3
37.8      8.5
38.8      8.6
39.7      8.7
40.8      8.9
41.8      9
42.9      9.1
44.2      9.3
45.4      9.5
46.5      9.5
47.4      9.4
48.3      9.1
49.7      9
51        9
52.2      8.6
53.2      8.3
54.2      7.9
55.3      7.5
56.5      7
